Time,Object,Confidence,Tracking_ID
2026-09-20 13:24:15,person,0.8,1
2026-09-20 13:24:15,person,0.79,1
2026-09-20 13:24:16,person,0.88,1
2026-09-20 13:24:16,person,0.89,1
2026-09-20 13:24:16,person,0.86,1
2026-09-20 13:24:16,person,0.87,1
2026-09-20 13:24:16,person,0.85,1
2026-09-20 13:24:16,person,0.88,1
2026-09-20 13:24:16,person,0.89,1
2026-09-20 13:24:16,person,0.72,1
2026-09-20 13:24:17,person,0.87,1
2026-09-20 13:24:17,person,0.86,1
2026-09-20 13:24:17,person,0.88,1
2026-09-20 13:24:17,person,0.88,1
2026-09-20 13:24:17,person,0.89,1
2026-09-20 13:24:17,person,0.89,1
2026-09-20 13:24:17,person,0.87,1
2026-09-20 13:24:17,person,0.87,1
2026-09-20 13:24:17,person,0.88,1
2026-09-20 13:24:18,person,0.9,1
2026-09-20 13:24:18,person,0.87,1
2026-09-20 13:24:18,person,0.85,1
2026-09-20 13:24:18,person,0.89,1
2026-09-20 13:24:18,person,0.86,1
2026-09-20 13:24:18,person,0.89,1
2026-09-20 13:24:18,person,0.89,1
2026-09-20 13:24:18,person,0.88,1
2026-09-20 13:24:18,person,0.88,1
2026-09-20 13:24:18,person,0.83,1
2026-09-20 13:24:19,person,0.85,1
2026-09-20 13:24:19,person,0.87,1
2026-09-20 13:24:19,person,0.87,1
2026-09-20 13:24:19,person,0.87,1
2026-09-20 13:24:19,person,0.86,1
2026-09-20 13:24:19,person,0.83,1
2026-09-20 13:24:19,person,0.88,1
2026-09-20 13:24:19,person,0.86,1
2026-09-20 13:24:20,person,0.81,1
2026-09-20 13:24:20,person,0.79,1
2026-09-20 13:24:20,person,0.86,1
2026-09-20 13:24:20,person,0.73,1
2026-09-20 13:24:20,person,0.77,1
2026-09-20 13:24:20,person,0.87,1
2026-09-20 13:24:20,person,0.78,1
2026-09-20 13:24:21,person,0.83,1
2026-09-20 13:24:21,person,0.84,1
2026-09-20 13:24:21,person,0.88,1
2026-09-20 13:24:21,person,0.85,1
2026-09-20 13:24:21,person,0.84,1
2026-09-20 13:24:21,person,0.82,1
2026-09-20 13:24:21,person,0.86,1
2026-09-20 13:24:21,person,0.82,1
2026-09-20 13:24:21,person,0.8,1
2026-09-20 13:24:22,person,0.84,1
2026-09-20 13:24:22,person,0.86,1
2026-09-20 13:24:22,person,0.83,1
2026-09-20 13:24:22,person,0.84,1
2026-09-20 13:24:22,person,0.86,1
2026-09-20 13:24:22,person,0.85,1
2026-09-20 13:24:22,person,0.82,1
2026-09-20 13:24:22,person,0.83,1
2026-09-20 13:24:22,person,0.86,1
2026-09-20 13:24:23,person,0.84,1
2026-09-20 13:24:23,person,0.8,1
2026-09-20 13:24:23,person,0.83,1
2026-09-20 13:24:23,person,0.81,1
2026-09-20 13:24:23,person,0.8,1
2026-09-20 13:24:23,person,0.71,1
2026-09-20 13:24:23,person,0.7,1
2026-09-20 13:24:23,person,0.74,1
2026-09-20 13:24:23,person,0.77,1
2026-09-20 13:24:24,person,0.77,1
2026-09-20 13:24:24,person,0.77,1
2026-09-20 13:24:24,person,0.85,1
2026-09-20 13:24:24,person,0.86,1
2026-09-20 13:24:24,person,0.83,1
2026-09-20 13:24:24,person,0.85,1
2026-09-20 13:24:24,person,0.87,1
2026-09-20 13:24:24,person,0.84,1
2026-09-20 13:24:24,person,0.86,1
2026-09-20 13:24:25,person,0.8,1
2026-09-20 13:24:25,person,0.74,1
